contentid,title,mapx,mapy,nx,ny
2778544,만리포전망타워,126.140963,36.78346368,45,110
2753925,만리포항,126.1321443,36.78491059,45,110
125842,만리포해수욕장,126.1422684,36.78580232,45,110
126934,만불사(영천),129.0306205,35.90816821,96,92
128100,만산동계곡,27.60353379,38.14162012,-1241,1046
2613660,만석거공원,127.0025679,37.30183817,60,121
3061206,만석동 주꾸미거리,126.623989,37.48283545,54,125
250287,만석보지,126.8613297,35.68051901,58,86
1627095,만석보혁파비,126.850242,35.6717726,58,86
2768168,만석부두,126.6214419,37.4868155,54,125
127547,만성리 검은모래해변,127.7447915,34.77715285,74,66
2892937,만세고개,127.1733509,37.06126349,63,116
2717565,만세장터 봉사회,126.8915332,36.18986701,59,97
3038793,만송정 숲,128.5233696,36.54011191,87,105
125829,만수계곡,127.8678098,36.49534105,76,104
125424,만수산자연휴양림,126.7119565,36.33858576,55,100
2932022,만안자암 단애,129.0042659,36.34439603,96,101
2717821,만양정육점,127.5665312,36.29287266,70,99
304789,만어사,128.8461077,35.45492423,94,82
2792772,만어사경석,128.8462744,35.45499645,94,82
2614775,만연사 선캄브리아기 화강편마암 (무등산권 국가지질공원),126.9858811,35.07846708,61,73
127146,만연사(),126.9850755,35.08296934,61,73
128990,만연산,126.9950577,35.09432934,61,73
127187,만연폭포,127.0011132,35.07354012,61,72
1578470,만월당,127.8149064,35.77729134,75,88
2661814,만인산 자연휴양림,127.454763,36.20229768,69,97
125429,만인산푸른학습원,127.4545992,36.20214492,69,97
126336,만일사(순창),127.1175924,35.48583717,63,82
126452,만장굴 (제주도 국가지질공원),126.7706788,33.52804785,57,39
578216,만재도,125.4684246,34.2085348,33,54
2387093,만지도,128.3894834,34.74008498,86,66
2787987,만지배밭,127.719205,35.0934169,74,73
2931995,만천하 경관,128.337218,36.97689174,84,114
2714217,만천하 슬라이드,128.3371041,36.977525,84,114
2662467,만천하 알파인코스터,128.3370708,36.97767498,84,114
2662414,만천하 짚와이어,128.3370708,36.97767498,84,114
127005,만취정,127.2792061,35.47987952,66,81
2704698,만항재,128.8990321,37.14861046,93,118
125931,만해 한용운선생 생가지,126.5539342,36.56287395,53,105
128775,만해마을,128.3165558,38.18690971,82,141
1395466,만해한용운심우장,126.9916691,37.593618,60,127
129423,만화방초,128.3849947,34.96070467,86,71
1956975,만화서원,126.7086924,35.49361265,56,82
126998,만휴정,128.9098612,36.41046728,94,102
2790504,만흥공원,127.7441416,34.77297552,74,66
250288,말목장터와 감나무,126.8377655,35.66443433,58,85
2714276,말문화체험관,128.9985699,36.03074818,96,94
2815080,말순농장,127.1416271,35.99436867,63,93
3038621,말재 농원,127.223803,36.41100028,64,102
2671791,말티재 전망대(말티고개),127.7905055,36.49924754,74,104
2648331,맑은물상상누리,126.696692,37.33721753,55,122
2733049,맑음터공원,127.0643141,37.13874981,61,117
3067458,맘맘스,127.2832463,36.86842658,65,112
3037603,맛동산 감귤체험농장,126.4298629,33.45479773,51,37
2681536,망경대산자연휴양림,128.5935223,37.18392,88,119
2716218,망경사,128.9194012,37.09926096,94,117
2818132,망경산사,128.6098606,37.15540415,88,118
304794,망경암,127.1370765,37.45343967,63,124
2569484,망곡산둘레길,127.0718137,38.10277121,61,138
2769562,망골조각공원(망골공원),127.5030226,36.6110351,69,106
2433991,망금산 강강술래터,126.3093811,34.56265837,49,61
129540,망끝전망대,126.5057599,34.13967837,52,52
2777995,망덕포구,127.7596518,34.97266173,74,71
1316294,망모당,127.0942931,35.96876521,62,92
3033472,망미단길,129.1103424,35.17243027,98,76
129084,망미정 우송당,129.0581503,36.43177045,96,103
1627158,망부상과 망부사 사우,126.8616579,35.55098929,58,83
126567,망산공원,128.072806,34.93250784,80,70
250424,망산도·유주암·유주비각,128.8209252,35.09672509,93,74
125713,망상해변,129.089671,37.59226865,96,128
1620590,망양돈대,126.3745558,37.70100288,49,130
126219,망양정,129.4129252,36.96548585,102,115
126100,망양정해수욕장,129.412514,36.96871603,102,115
129559,망우당공원,128.6563904,35.87735361,90,91
2650756,망우리 시민공원,127.1148327,37.59840577,62,127
1115203,망우산(서울),127.1056031,37.59428109,62,127
3062089,망원유수지체육공원,126.8969787,37.55681781,58,126
127307,망원정지,126.9046921,37.54987153,59,126
2765301,망월돈대 및 장성,126.3553786,37.74168946,49,130
304797,망월사(경기 ),127.1964787,37.47817677,64,125
127029,망월사(경기),127.0210993,37.70498613,61,130
304799,망월사(),129.2104606,35.80133644,100,89
128283,망이산성,127.4892058,37.05647251,69,116
304800,망일사(서산),126.4466089,36.93783164,51,113
1626945,망제동석불입상(대암석불),126.8427721,35.6059605,58,84
2723624,망치몽돌해수욕장,128.6677545,34.81277074,91,67
126335,망해사,126.7156797,35.8597239,56,90
