contentid,title,addr1,addr2,areacode,sigungucode,mapx,mapy,modifiedtime,firstimage,firstimage2,cat1,cat2,cat3,contenttypeid,NX,NY
2913879,한반도섬 자연습지,강원특별자치도 양구군 양구읍 한반도섬길 76,,32.0,6.0,127.9828296,38.13069322,20240700000000.0,http://tong.visitkorea.or.kr/cms/resource/37/2921437_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/2921437_image3_1.jpg,A01,A0101,A01010500,12,76,138
779594,한반도지형 (강원고생대 국가지질공원),강원특별자치도 영월군 한반도면 한반도로 555,(한반도면),32.0,8.0,128.3471683,37.21956679,20240700000000.0,,,A01,A0101,A01011100,12,83,119
2721941,한반도지형전망공원,충청북도 진천군 초평면 화산리 563-1,,33.0,8.0,127.5293007,36.81187362,20240700000000.0,,,A02,A0202,A02020700,12,69,109
2569472,한반도통일미래센터,경기도 연천군 전곡읍 남계로 408,,31.0,21.0,127.0080892,38.00163464,20230900000000.0,http://tong.visitkorea.or.kr/cms/resource/32/2566732_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/2566732_image3_1.jpg,A02,A0201,A02011000,12,59,135
128949,한밤마을,대구광역시 군위군 부계면 한티로 2137-3,(부계면),4.0,9.0,128.6549493,36.0593163,20240700000000.0,http://tong.visitkorea.or.kr/cms/resource/55/2675655_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/2675655_image2_1.jpg,A02,A0201,A02010600,12,89,94
3014113,한밤마을돌담길,대구광역시 군위군 부계면 대율리,,4.0,9.0,128.6530995,36.05919961,20230900000000.0,http://tong.visitkorea.or.kr/cms/resource/00/3014100_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/3014100_image3_1.jpg,A02,A0203,A02030600,12,89,94
2714777,한밤실농촌체험마을,경상북도 영주시 부석면 영부로120번길 3,,35.0,14.0,128.661005,37.00188942,20230600000000.0,,,A02,A0203,A02030100,12,88,114
2589657,한방스파 여용국,서울특별시 송파구 석촌호수로12길 60,(잠실동),1.0,18.0,127.079919,37.50832672,20240800000000.0,,,A02,A0202,A02020500,12,61,124
127886,한방테마파크 초락당,울산광역시 울주군 두동면 계명로 44-34,,7.0,5.0,129.199678,35.70991877,20240500000000.0,http://tong.visitkorea.or.kr/cms/resource/42/3043042_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/3043042_image3_1.jpg,A02,A0202,A02020500,12,99,86
523983,한방테마파크 초락당 (艸樂堂),울산광역시 울주군 두동면 봉계리,531-5번지,7.0,5.0,129.1998197,35.70981878,20240400000000.0,,,A02,A0202,A02020500,12,99,86
2792673,한밭마을,경상남도 산청군 산청읍 웅석봉로151번길 104-7,,36.0,9.0,127.8863851,35.40047135,20231200000000.0,http://tong.visitkorea.or.kr/cms/resource/01/2795601_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2795601_image2_1.jpg,A02,A0203,A02030100,12,76,79
741658,한밭수목원,대전광역시 서구 둔산대로 169,,3.0,3.0,127.3862702,36.36863023,20240800000000.0,http://tong.visitkorea.or.kr/cms/resource/76/3350776_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/3350776_image3_1.jpg,A01,A0101,A01010700,12,66,100
126388,한벽당,전북특별자치도 전주시 완산구 기린대로 2,,37.0,12.0,127.1608385,35.81187868,20240100000000.0,http://tong.visitkorea.or.kr/cms/resource/72/167072_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/167072_image3_1.jpg,A02,A0201,A02010700,12,63,88
3066483,한복궁,전북특별자치도 전주시 완산구 어진길 36 (풍남동2가),,37.0,12.0,127.1524752,35.81794451,20240100000000.0,http://tong.visitkorea.or.kr/cms/resource/69/3066469_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/3066469_image3_1.jpg,A02,A0203,A02030400,12,62,88
2390314,한복남,서울특별시 종로구 사직로 133-5,,1.0,23.0,126.9733212,37.57628913,20230600000000.0,http://tong.visitkorea.or.kr/cms/resource/47/2388347_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/2388347_image3_1.jpg,A02,A0203,A02030200,12,59,126
