contentid,title,addr1,addr2,areacode,sigungucode,mapx,mapy,modifiedtime,firstimage,firstimage2,cat1,cat2,cat3,contenttypeid
2611626,양천구 갈산도서관,서울특별시 양천구 목동남로4길 48-6,(신정동),1,19,126.8673577758,37.5088978449,20230721091137,http://tong.visitkorea.or.kr/cms/resource/09/2611609_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/09/2611609_image2_1.bmp,A02,A0206,A02060900,14
2612093,양천구 역사홍보관,서울특별시 양천구 목동동로 81,,1,19,126.8638801145,37.5160302876,20231228101103,http://tong.visitkorea.or.kr/cms/resource/92/2612092_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/92/2612092_image2_1.bmp,A02,A0206,A02060300,14
2616589,양천구 영어특성화도서관,서울특별시 양천구 목동동로 81,,1,19,126.8638801145,37.5160302876,20230809113311,http://tong.visitkorea.or.kr/cms/resource/82/2612082_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/82/2612082_image2_1.bmp,A02,A0206,A02060900,14
130215,양천문화원,서울특별시 양천구 목동남로 106 (신정동),,1,19,126.8702130163,37.5108560020,20231205115843,http://tong.visitkorea.or.kr/cms/resource/62/1865262_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/1865262_image3_1.jpg,A02,A0206,A02060700,14
1113537,양천문화회관,서울특별시 양천구 목동서로 367,,1,19,126.8633162653,37.5164580059,20240709154944,http://tong.visitkorea.or.kr/cms/resource/70/2356870_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/2356870_image3_1.jpg,A02,A0206,A02060600,14
3070082,양평 아프리카 문화예술박물관,경기도 양평군 용문면 금곡리,,31,19,127.6164480661,37.5073727076,20231215104657,http://tong.visitkorea.or.kr/cms/resource/51/3070051_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/3070051_image3_1.jpg,A02,A0206,A02060100,14
2605321,양평곤충박물관,경기도 양평군 옥천면 경강로 1496,,31,19,127.4492048477,37.5092555321,20240524094738,http://tong.visitkorea.or.kr/cms/resource/39/3072639_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/3072639_image3_1.jpg,A02,A0206,A02060100,14
1926610,양평군립미술관,경기도 양평군 양평읍 문화복지길 2,(양평읍),31,19,127.4839714879,37.4970936889,20240605100436,http://tong.visitkorea.or.kr/cms/resource/04/3038304_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/3038304_image3_1.jpg,A02,A0206,A02060500,14
129873,양평문화원,경기도 양평군 양평읍 마유산로 5,,31,19,127.4858490814,37.4975797780,20231102105414,http://tong.visitkorea.or.kr/cms/resource/53/1785853_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/1785853_image3_1.jpg,A02,A0206,A02060700,14
1413224,양화진홀 전시관,서울특별시 마포구 양화진길 46,,1,13,126.9116998990,37.5464776030,20230911111534,http://tong.visitkorea.or.kr/cms/resource/77/1543877_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/1543877_image3_1.jpg,A02,A0206,A02060300,14
3013175,어둠속의대화 북촌점,서울특별시 종로구 가회동,,1,23,126.9848310783,37.5833718478,20230920140610,http://tong.visitkorea.or.kr/cms/resource/92/3012892_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/3012892_image3_1.jpg,A02,A0206,A02060300,14
2858291,어리목탐방지원센터,제주특별자치도 제주시 1100로 2070-61 한라산국립공원관리사무소,,39,4,126.4939225924,33.3921723370,20240620110228,http://tong.visitkorea.or.kr/cms/resource/58/2858258_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/58/2858258_image3_1.JPG,A02,A0203,A02030400,14
